date,action,stock,shares,price,value,pnl_pct,reason
2020-02-24,SELL,SZ300337,357000,4.380000000000002,1563660.0000000007,-9.12863070539418,rebalance
2020-02-24,BUY,SZ300820,68100,25.909629629629638,1766739.5572888893,0.0,signal
2020-02-24,BUY,SZ002516,506000,3.4899999999999998,1768235.7219999996,0.0,signal
2020-02-24,BUY,SZ002455,315600,5.5950000000000015,1768077.5166000002,0.0,signal
2020-02-24,BUY,SH600621,500,3336.7668117,1670552.3042776047,0.0,signal
2020-02-24,BUY,SH600546,230200,7.671999999999999,1768390.3227199994,0.0,signal
2020-02-24,BUY,SZ300048,511100,2.64,1351058.0951999999,0.0,signal
2020-02-25,SELL,SZ002613,376500,6.199999999999999,2334299.9999999995,35.667396061269145,rebalance
2020-02-25,SELL,SZ002432,1830600,1.5100000000000002,2764206.0000000005,60.63829787234045,rebalance
2020-02-25,SELL,SZ002455,315600,5.455000000000001,1721598.0000000002,-2.502234137622883,rebalance
2020-02-25,SELL,SH600546,230200,7.991999999999999,1839758.4,4.171011470281538,rebalance
2020-02-25,SELL,SZ300048,511100,2.95,1507745.0,11.742424242424242,rebalance
2020-02-25,BUY,SZ002255,320200,5.295000000000001,1697663.0966999999,0.0,signal
2020-02-25,BUY,SZ300102,209600,8.088999999999999,1697658.4907199994,0.0,signal
2020-02-25,BUY,SZ002662,593300,2.858,1697855.74682,0.0,signal
2020-02-25,BUY,SH600318,196700,8.620000000000001,1697758.2202,0.0,signal
2020-02-25,BUY,SZ002582,256300,6.614000000000001,1697371.91866,0.0,signal
2020-02-25,BUY,SZ000933,2723300,0.6100000000000008,1663372.5769000018,0.0,signal
2020-02-26,SELL,SZ300820,68100,21.977777777777785,1496686.6666666672,-15.1752530161816,rebalance
2020-02-26,SELL,SH600621,500,3150.2394744,1575119.7371999999,-5.590062111801242,rebalance
2020-02-26,SELL,SZ300102,209600,7.489,1569694.4,-7.417480529113596,rebalance
2020-02-26,SELL,SZ002662,593300,3.648,2164358.4,27.641707487753674,rebalance
2020-02-26,SELL,SZ002582,256300,6.2440000000000015,1600337.2000000004,-5.594194133655872,rebalance
2020-02-26,SELL,SZ000933,2723300,0.7300000000000011,1988009.000000003,19.672131147541005,rebalance
2020-02-26,BUY,SZ002432,1231100,1.5000000000000004,1849050.6450000003,0.0,signal
2020-02-26,BUY,SZ300817,122400,15.077956790123462,1847941.1155955559,0.0,signal
2020-02-26,BUY,SH600210,61100,30.21688124,1848651.570640893,0.0,signal
2020-02-26,BUY,SZ002347,347700,5.310000000000001,1848687.1731000002,0.0,signal
2020-02-26,BUY,SZ002028,105500,17.500390799999998,1848691.4079982196,0.0,signal
2020-02-26,BUY,SH603189,35100,32.43,1139772.7809,0.0,signal
2020-02-27,SELL,SZ002516,506000,2.63,1330780.0,-24.641833810888247,rebalance
2020-02-27,SELL,SH600318,196700,11.38,2238446.0,32.01856148491879,rebalance
2020-02-27,SELL,SZ300817,122400,13.457586419753087,1647208.5777777778,-10.74661768119517,rebalance
2020-02-27,SELL,SZ002347,347700,4.550000000000001,1582035.0000000002,-14.312617702448216,rebalance
2020-02-27,SELL,SH603189,35100,28.699999999999996,1007369.9999999999,-11.50169596053039,rebalance
2020-02-27,BUY,SH600416,145300,12.1,1760415.5689999997,0.0,signal
