date,value
2020-11-23,28393925.319897342
2020-11-24,27570148.395538818
2020-11-25,25100022.27740256
2020-11-26,23592938.199022114
2020-11-27,23499357.333476394
2020-11-30,23533231.40542283
2020-12-01,26005013.974431727
2020-12-02,27114780.410394575
2020-12-03,25720326.174113136
2020-12-04,26165787.927658018
2020-12-07,28335701.43701752
2020-12-08,26242884.468029756
2020-12-09,25858614.647827376
2020-12-10,25321005.753561668
2020-12-11,23562222.980678573
2020-12-14,23724171.880243413
2020-12-15,22631646.95400627
2020-12-16,22130744.980872564
2020-12-17,22414001.98269046
2020-12-18,22941422.21237219
2020-12-21,27039654.546826232
2020-12-22,24225551.137045886
2020-12-23,25833944.846823502
2020-12-24,26808110.350852735
2020-12-25,36472867.63335788
2020-12-28,44532917.22877221
2020-12-29,37705341.30327601
2020-12-30,36605246.636665575
2020-12-31,41122275.611691624
2021-01-04,43765965.692935765
2021-01-05,42295858.034889676
2021-01-06,38946273.0346371
2021-01-07,37531975.57950649
2021-01-08,35602145.04276289
2021-01-11,35410889.30766221
2021-01-12,34480881.579031706
2021-01-13,36363167.16961051
2021-01-14,34310893.03676227
2021-01-15,34617453.067427784
2021-01-18,188146832.866413
2021-01-19,34802870.826938726
2021-01-20,34637652.48181283
2021-01-21,36469311.78835857
2021-01-22,35795964.96235284
2021-01-25,36733748.373569205
2021-01-26,35631446.11837307
2021-01-27,34943034.14592384
2021-01-28,31822322.638193943
2021-01-29,28822465.46195355
2021-02-01,28429533.14969873
2021-02-02,29320719.7317317
2021-02-03,29409868.052826773
2021-02-04,29729684.97108853
2021-02-05,28064006.651103448
2021-02-08,28850357.252130557
2021-02-09,28865377.94740195
2021-02-10,28998804.59048456
2021-02-18,29876650.210929126
2021-02-19,29967434.07585073
2021-02-22,31258179.91406957
2021-02-23,31782415.275672223
2021-02-24,30247484.64916859
2021-02-25,31722063.327134304
2021-02-26,26275161.744227324
2021-03-01,27232874.541876778
2021-03-02,31013956.070193265
2021-03-03,31982060.84392525
2021-03-04,32296899.98166095
2021-03-05,28454855.045912296
2021-03-08,30340349.693419203
2021-03-09,25443519.948784236
2021-03-10,23762639.467605457
2021-03-11,28640253.71487693
2021-03-12,30108404.165336326
2021-03-15,29905252.921761148
2021-03-16,31927077.30319314
2021-03-17,36376078.53093528
2021-03-18,36464753.3799428
2021-03-19,34378689.32463354
2021-03-22,37777532.63064707
2021-03-23,34816653.74708908
2021-03-24,28891414.61017325
2021-03-25,32185494.47914866
2021-03-26,37557824.83809043
2021-03-29,64887830.1932084
2021-03-30,60953207.2234748
2021-03-31,63552202.50172789
2021-04-01,68114033.82911275
2021-04-02,66130302.3986543
2021-04-06,68386933.62013891
2021-04-07,80115711.16998623
2021-04-08,83676896.09254624
2021-04-09,81179204.24924853
2021-04-12,83895193.95042337
2021-04-13,72467642.1205194
2021-04-14,73547417.81256062
2021-04-15,79448054.64148624
2021-04-16,92580603.94946742
2021-04-19,97773127.28671494
2021-04-20,100770282.76243849
2021-04-21,110452629.89232415
2021-04-22,115869054.67909034
2021-04-23,115290143.51852202
2021-04-26,129884877.9923874
2021-04-27,133596799.59619348
2021-04-28,143861253.72315416
2021-04-29,133425055.94177581
2021-04-30,142320770.36511436
2021-05-06,149030008.61254674
2021-05-07,153679433.04002592
2021-05-10,201729875.44885987
2021-05-11,184868904.11727113
2021-05-12,199042611.97369716
2021-05-13,191648876.0199331
2021-05-14,176820757.70764983
2021-05-17,174201975.04780567
2021-05-18,191502335.8748471
2021-05-19,187630968.26633403
2021-05-20,179907680.9713271
2021-05-21,178060132.5232302
2021-05-24,182551435.96667147
2021-05-25,183678977.3033827
2021-05-26,184768660.80570415
2021-05-27,187543512.53756046
2021-05-28,194959175.77489233
2021-05-31,201907011.2269222
2021-06-01,228504816.24300712
2021-06-02,217410228.93629438
2021-06-03,221733971.48939046
2021-06-04,199228674.95184684
2021-06-07,211611791.45868078
2021-06-08,209422413.41732907
2021-06-09,257404593.58057684
2021-06-10,250027532.0833688
2021-06-11,256195632.50011492
2021-06-15,237547257.94919404
2021-06-16,229937474.29939258
2021-06-17,246314572.47997472
2021-06-18,222875556.40037236
2021-06-21,215211335.05984995
2021-06-22,214448944.2025216
2021-06-23,230181401.70720643
2021-06-24,225752302.05330104
2021-06-25,258271535.13999546
2021-06-28,228066239.67641923
2021-06-29,216926037.0110884
2021-06-30,217410057.92290822
2021-07-01,211819861.67003992
2021-07-02,203968394.93790907
2021-07-05,207823393.85890532
2021-07-06,203507743.48504287
2021-07-07,206998052.06863934
2021-07-08,210299840.07362646
2021-07-09,201561710.7978813
2021-07-12,207726952.2966367
2021-07-13,209049801.40697807
2021-07-14,200186941.7848514
2021-07-15,201331558.1769374
2021-07-16,211672031.91125974
2021-07-19,231048019.0969621
2021-07-20,185360848.27851933
2021-07-21,235580558.60324684
2021-07-22,346990536.16360164
2021-07-23,408633818.5670214
2021-07-26,399046912.37909436
2021-07-27,429076900.4631765
2021-07-28,383705167.24511254
2021-07-29,406914805.4236036
2021-07-30,395279584.83089423
2021-08-02,355156946.43063146
2021-08-03,299745472.7837951
2021-08-04,477956465.8023185
2021-08-05,893370634.1164353
2021-08-06,1432828755.11688
2021-08-09,1415307241.3006663
2021-08-10,1465259602.2004228
2021-08-11,1382469795.9831336
2021-08-12,1480574595.8174646
2021-08-13,1462278758.5483146
2021-08-16,1512100520.9648442
2021-08-17,1344470191.1490626
2021-08-18,1276861406.6815293
2021-08-19,1303856476.713345
2021-08-20,1259369685.3528826
2021-08-23,1336032391.9990373
2021-08-24,1320324162.7921765
2021-08-25,1535999567.4263227
2021-08-26,1643915767.4800096
2021-08-27,1707533862.5346947
2021-08-30,1809711229.7708802
2021-08-31,1660548529.4554892
2021-09-01,1649085326.2585769
2021-09-02,1806723037.9567235
2021-09-03,1748782851.5096254
2021-09-06,1817969990.5419145
2021-09-07,2128589197.0777824
2021-09-08,2183233707.687339
2021-09-09,2436813154.120024
2021-09-10,2305490299.541201
2021-09-13,2510656949.058063
2021-09-14,2616105232.17768
2021-09-15,2572350663.6805334
2021-09-16,2733675162.1779375
2021-09-17,2561112779.5380583
2021-09-22,2408012852.8593183
2021-09-23,2314327974.5519342
2021-09-24,2159410534.6882033
2021-09-27,1987159894.8969944
2021-09-28,2077065040.6677349
2021-09-29,2235907287.0758142
2021-09-30,2321511753.3267527
2021-10-08,2312391368.6415887
2021-10-11,2151935854.1141934
2021-10-12,2089598153.6181562
2021-10-13,1967955962.911289
2021-10-14,1940262635.5918527
2021-10-15,1939832605.1361165
2021-10-18,2007380536.666627
2021-10-19,1994278913.7224584
2021-10-20,2043496718.821396
2021-10-21,2040580875.4836664
2021-10-22,2108176325.7755103
2021-10-25,2218745664.3135767
2021-10-26,2157565897.449438
2021-10-27,2135919735.979237
2021-10-28,2053679455.1295733
2021-10-29,2028401879.6202304
2021-11-01,2075720004.8179374
2021-11-02,2013620641.7488415
2021-11-03,2027988581.5554047
2021-11-04,2133100278.0875027
2021-11-05,2241664762.1668644
2021-11-08,2244026600.161945
2021-11-09,2300591331.7437353
2021-11-10,2428285123.984454
2021-11-11,2435699958.9414277
2021-11-12,2517027516.242956
2021-11-15,2694255701.569725
2021-11-16,2888406590.0676394
2021-11-17,3040675327.6236796
2021-11-18,3135717112.5425653
2021-11-19,3115116241.237539
2021-11-22,3264081206.971474
2021-11-23,3494369997.2745614
2021-11-24,3731243303.5061173
2021-11-25,3355505455.740634
2021-11-26,3199241724.0453415
2021-11-29,3208003492.769446
2021-11-30,3220912079.6385665
2021-12-01,3188345579.706239
2021-12-02,3560246962.626188
2021-12-03,3301994906.0935116
2021-12-06,3264110046.970925
2021-12-07,3184782013.4260736
2021-12-08,3257620381.502713
2021-12-09,3447442285.5187483
2021-12-10,3520350791.413029
2021-12-13,3420049963.4331055
2021-12-14,3843164689.451706
2021-12-15,3478784817.160159
2021-12-16,4100879418.7487106
2021-12-17,4290795742.152968
2021-12-20,4551094512.0539665
2021-12-21,4612832032.315139
2021-12-22,4419410871.00633
2021-12-23,4072414310.0794296
2021-12-24,3953736886.473234
2021-12-27,4616261843.644871
2021-12-28,4588432617.505062
2021-12-29,4053932320.3825393
2021-12-30,4305644997.21134
2021-12-31,3573080527.1914325
2022-01-04,3531339836.3224106
2022-01-05,3312442044.3833055
2022-01-06,3836428078.5438337
2022-01-07,3643556430.0207615
2022-01-10,4092898971.8728075
2022-01-11,4140898731.4071403
2022-01-12,4360696639.427095
2022-01-13,4669871392.777998
2022-01-14,5003379091.668
2022-01-17,4551746722.050958
2022-01-18,3883880250.385628
2022-01-19,3560373763.2662134
2022-01-20,3912218762.970391
2022-01-21,3440257062.29161
2022-01-24,3277742300.658059
2022-01-25,3042558369.0375504
2022-01-26,2930465426.0343504
2022-01-27,2781534291.793564
2022-01-28,2606744515.568027
2022-02-07,3213705107.724848
2022-02-08,3283659407.8090835
2022-02-09,3478587959.00609
2022-02-10,3556098196.670644
2022-02-11,3658444985.5177393
2022-02-14,3630530073.0309997
2022-02-15,3506481761.9228973
2022-02-16,3709335580.6229568
2022-02-17,3516936026.3094172
2022-02-18,3615840594.868982
2022-02-21,3920680359.441516
2022-02-22,3518089284.6677055
2022-02-23,3560558014.422181
2022-02-24,3431678968.3083267
2022-02-25,3340044369.4780407
