rank,instrument,composite_score,momentum_5d,reversal_5d,momentum_10d,momentum_20d,volatility_20d,score_momentum_5d,score_reversal_5d,score_momentum_10d,score_momentum_20d,score_volatility_20d
82,SZ002436,0.8266311898762003,0.9882345065820595,-0.9882345065820595,2.1441161228185432,1.6729030871035107,0.316136739458947,0.1976469013164119,-0.1976469013164119,0.4288232245637087,0.33458061742070216,0.0632273478917894
83,SH603150,0.8263830658851586,0.1333943529791706,-0.1333943529791706,1.7807667555606026,2.1145902371436276,0.23655833672156285,0.026678870595834122,-0.026678870595834122,0.35615335111212054,0.4229180474287255,0.04731166734431257
84,SZ300913,0.8262924874709634,0.8880713911580266,-0.8880713911580266,1.8763171300528492,1.848129887730336,0.4070154195716316,0.17761427823160533,-0.17761427823160533,0.37526342601056983,0.36962597754606724,0.08140308391432632
85,SZ300806,0.814612904683592,1.9430815419341299,-1.9430815419341299,2.0924420181769428,1.717315523726184,0.26330698151483295,0.388616308386826,-0.388616308386826,0.4184884036353886,0.3434631047452368,0.052661396302966595
86,SZ300964,0.8118771965491902,1.1449587716120804,-1.1449587716120804,2.171472256025798,1.850586308563048,0.03732741815710493,0.22899175432241609,-0.22899175432241609,0.43429445120515964,0.3701172617126096,0.007465483631420986
87,SZ002636,0.810464596206744,1.781124074235378,-1.781124074235378,1.5097617264597802,2.0972233588796207,0.4453378956943186,0.35622481484707563,-0.35622481484707563,0.3019523452919561,0.41944467177592415,0.08906757913886372
88,SZ300951,0.8069999442202137,0.8283624394091411,-0.8283624394091411,1.6500402989432055,2.2273393697681048,0.15762005238975801,0.16567248788182823,-0.16567248788182823,0.3300080597886411,0.445467873953621,0.03152401047795161
89,SH603989,0.805220932729995,0.7937359063832652,-0.7937359063832652,1.8889262822345323,1.752793500037178,0.3843848813782641,0.15874718127665305,-0.15874718127665305,0.37778525644690647,0.3505587000074356,0.07687697627565282
90,SZ300592,0.8047931827715256,1.1623217425525765,-1.1623217425525765,1.9026575498176599,2.137730026382687,-0.016421662342719166,0.2324643485105153,-0.2324643485105153,0.380531509963532,0.4275460052765374,-0.003284332468543833
91,SH600391,0.8045193687520868,0.43006045907720003,-0.43006045907720003,1.5242040463930242,2.5562957914502524,-0.05790299408284229,0.08601209181544,-0.08601209181544,0.30484080927860485,0.5112591582900505,-0.011580598816568458
92,SH601869,0.8038386645105393,0.8671664325876788,-0.8671664325876788,1.4144247573993698,2.319669851359259,0.2850987137940673,0.17343328651753576,-0.17343328651753576,0.28288495147987397,0.4639339702718518,0.05701974275881347
93,SZ002631,0.80138407951881,0.6306181776920391,-0.6306181776920391,1.0930352480503431,2.1275690561118563,0.7863160934318502,0.12612363553840783,-0.12612363553840783,0.21860704961006863,0.4255138112223713,0.15726321868637005
